datetime,open,high,low,close,adr_period,brick_size,reversal_size,wick_mode,ma1_period,ma2_period,ma3_period,chopPeriod,currentADR,EMA_rawDistance(5),EMA_adrDistance(5),EMA_rrDistance(5),EMA_rawDistance(10),EMA_adrDistance(10),EMA_rrDistance(10),EMA_rawDistance(40),EMA_adrDistance(40),EMA_rrDistance(40),DD,DD_ADR,DD_RR,State,prState,Type1,Type2,Con_UP_bars,Con_DN_bars,direction,priorRunCount,Con_UP_bars(state),Con_DN_bars(state),barDuration,stateBarCount,stateDuration,chop(rolling),MFE_clr_Bars,MFE_clr_price,MFE_clr_ADR,REAL_clr_ADR,MFE_clr_RR,REAL_clr_RR,REAL_MA1_Price,REAL_MA1_ADR,REAL_MA1_RR,REAL_MA2_Price,REAL_MA2_ADR,REAL_MA2_RR,REAL_MA3_Price,REAL_MA3_ADR,REAL_MA3_RR
2026-01-05 15:59:00,1.1704,1.1711,1.17033,1.1711,2,0.0007,0.0014,all,5,10,40,5,0.00369,0.00126,0.34084,0.89836,0.00195,0.52904,1.3944,0.00032,0.08537,0.225,7e-05,0.01897,0.05,1,0.0,0,0,7,0,1,4,1,0,40.0,1,40.0,0.0,2,0.0014,0.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0007,0.19,0.5,0.0,0.0,0.0
2026-01-05 16:13:00,1.1711,1.1718,1.1707,1.1718,2,0.0007,0.0014,all,5,10,40,5,0.00369,0.00131,0.35369,0.93224,0.00217,0.58806,1.54996,0.00097,0.26165,0.68963,0.0004,0.1084,0.28571,1,1.0,0,0,8,0,1,4,2,0,14.0,2,54.0,0.0,1,0.0007,0.19,-0.19,0.5,-0.5,-0.0007,-0.19,-0.5,0.0,0.0,0.0,-0.0007,-0.19,-0.5
2026-01-05 17:21:00,1.1718,1.1725,1.17112,1.1725,2,0.0007,0.0014,all,5,10,40,5,0.00369,0.00134,0.36226,0.95483,0.00235,0.63635,1.67724,0.00158,0.42933,1.1316,0.00068,0.18428,0.48571,2,1.0,0,0,9,0,1,4,1,0,68.0,1,68.0,0.0,0,0.0,0.0,-0.38,0.0,-1.0,-0.0014,-0.38,-1.0,-0.0007,-0.19,-0.5,-0.0014,-0.38,-1.0
2026-01-05 18:59:00,1.1725,1.17286,1.1718,1.1718,2,0.0007,0.0014,all,5,10,40,5,0.00369,0.00042,0.11504,0.30322,0.00135,0.36544,0.9632,0.00084,0.22794,0.60079,0.00036,0.09756,0.25714,2,2.0,0,0,0,1,-1,9,0,1,98.0,2,166.0,0.2,1,0.0007,0.19,-0.19,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05 22:03:00,1.1718,1.1722,1.1711,1.1711,2,0.0007,0.0014,all,5,10,40,5,0.00369,-0.00018,-0.04977,-0.13119,0.00053,0.14379,0.37898,0.00013,0.03638,0.09588,0.0004,0.1084,0.28571,2,2.0,0,0,0,2,-1,9,0,2,184.0,3,350.0,0.2,0,0.0,0.0,-0.38,0.0,-1.0,-0.0007,-0.19,-0.5,-0.0007,-0.19,-0.5,-0.0007,-0.19,-0.5
2026-01-06 00:36:00,1.1711,1.1718,1.17106,1.1718,2,0.0007,0.0014,all,5,10,40,5,0.00459,0.00034,0.07499,0.24587,0.00101,0.21935,0.71916,0.00079,0.17288,0.56681,4e-05,0.00871,0.02857,2,2.0,0,0,1,0,1,2,1,0,153.0,4,503.0,0.4,3,0.0021,0.46,0.15,1.5,0.5,0.0007,0.15,0.5,0.0,0.0,0.0,-0.0007,-0.15,-0.5
2026-01-06 01:00:00,1.1718,1.1725,1.1712,1.1725,2,0.0007,0.0014,all,5,10,40,5,0.00459,0.0007,0.15167,0.49725,0.0014,0.30425,0.9975,0.00142,0.30952,1.01477,0.0006,0.13072,0.42857,3,2.0,1,1,2,0,1,2,1,0,24.0,1,24.0,0.4,2,0.0014,0.31,0.0,1.0,0.0,0.0,0.0,0.0,-0.0007,-0.15,-0.5,-0.0014,-0.31,-1.0
2026-01-06 01:59:00,1.1725,1.1732,1.17222,1.1732,2,0.0007,0.0014,all,5,10,40,5,0.00459,0.00093,0.20278,0.66483,0.00172,0.37371,1.22523,0.00202,0.43948,1.44088,0.00028,0.061,0.2,3,3.0,0,2,3,0,1,2,2,0,59.0,2,83.0,0.4,1,0.0007,0.15,-0.15,0.5,-0.5,-0.0007,-0.15,-0.5,-0.0014,-0.31,-1.0,-0.0014,-0.31,-1.0
2026-01-06 02:49:00,1.1732,1.1739,1.17271,1.1739,2,0.0007,0.0014,all,5,10,40,5,0.00459,0.00109,0.23686,0.77656,0.00198,0.43054,1.41155,0.00258,0.56311,1.8462,0.00049,0.10675,0.35,3,3.0,0,3,4,0,1,2,3,0,50.0,3,133.0,0.2,0,0.0,0.0,-0.31,0.0,-1.0,-0.0014,-0.31,-1.0,-0.0014,-0.31,-1.0,-0.0014,-0.31,-1.0
2026-01-06 07:04:00,1.1739,1.17428,1.1732,1.1732,2,0.0007,0.0014,all,5,10,40,5,0.00459,0.00026,0.05623,0.18437,0.00104,0.22748,0.74581,0.00179,0.39058,1.28053,0.00038,0.08279,0.27143,3,3.0,0,0,0,1,-1,4,0,1,255.0,4,388.0,0.4,8,0.0056,1.22,0.92,4.0,3.0,0.0042,0.92,3.0,0.0035,0.76,2.5,0.007,1.53,5.0
